Date,Open,High,Low,Close,Volume,Adj Clos
2009-03-23,8.30,9.17,8.20,9.17,36808000,9.1
2009-03-20,8.62,8.69,8.03,8.34,15966700,8.2
2009-03-19,8.44,8.80,8.41,8.56,13017900,8.5
2009-03-18,8.41,8.87,8.38,8.46,26752700,8.4
2009-03-17,7.98,8.50,7.86,8.40,21488300,8.3
2009-03-16,7.56,7.85,7.42,7.83,10641500,7.7
2009-03-13,7.65,7.77,7.53,7.56,9706100,7.5
2009-03-12,7.26,7.68,7.15,7.61,9247700,7.5
2009-03-11,7.48,7.53,7.28,7.34,9476400,7.2
2009-03-10,7.15,7.33,6.88,7.32,7730800,7.2
2009-03-09,7.67,7.88,7.20,7.21,12266500,7.1
2009-03-06,7.35,7.89,7.27,7.57,16171100,7.5
2009-03-05,7.19,7.63,7.19,7.47,26977400,7.4
2009-03-04,6.52,7.18,6.52,7.12,15338500,7.0
2009-03-03,6.43,6.73,6.38,6.57,8983900,6.5
2009-03-02,6.31,6.70,6.31,6.62,9379800,6.5
2009-02-27,6.71,6.85,6.30,6.36,14990400,6.3
2009-02-26,7.52,7.58,6.76,6.82,17166300,6.7
2009-02-25,8.10,8.13,7.30,7.51,24423300,7.4
2009-02-24,7.98,8.50,7.95,8.11,29938100,8.0
2009-02-23,8.03,8.27,7.96,8.18,20733800,8.1
2009-02-20,7.70,7.84,7.42,7.83,14404500,7.7
2009-02-19,7.62,7.78,7.35,7.68,13934000,7.6
2009-02-18,7.58,8.02,7.50,7.51,21257700,7.4
2009-02-17,8.40,8.40,7.73,7.78,30582000,7.7
2009-02-16,8.55,8.89,8.19,8.52,40772800,8.4
2009-02-13,7.80,8.42,7.76,8.42,35595200,8.3
2009-02-12,7.30,7.65,7.13,7.65,34288200,7.6
2009-02-11,7.06,7.65,6.97,7.26,32336900,7.2
2009-02-10,6.80,7.19,6.61,7.16,30662700,7.1
2009-02-09,6.67,6.92,6.57,6.83,29556000,6.7
2009-02-06,6.25,6.65,6.25,6.58,24126700,6.5
2009-02-05,6.29,6.47,6.09,6.23,22795100,6.1
2009-02-04,6.26,6.29,6.11,6.27,19558200,6.2
2009-02-03,5.73,6.25,5.65,6.22,21841800,6.1
2009-02-02,5.69,5.74,5.56,5.74,8187300,5.7
2009-01-23,5.64,5.72,5.59,5.63,6140600,5.5
2009-01-22,5.64,5.73,5.52,5.67,8846200,5.6
2009-01-21,5.57,5.67,5.49,5.59,7527300,5.5
2009-01-20,5.69,5.71,5.51,5.60,5233800,5.5
2009-01-19,5.66,5.88,5.58,5.68,9259600,5.6
2009-01-16,5.55,5.79,5.55,5.60,10106700,5.5
2009-01-15,5.37,5.66,5.33,5.53,11905300,5.4
2009-01-14,5.22,5.46,5.22,5.45,6156400,5.4
2009-01-13,5.37,5.37,5.21,5.23,5503800,5.1
2009-01-12,5.44,5.53,5.36,5.42,6866000,5.3
2009-01-09,5.38,5.54,5.35,5.48,5767900,5.4
2009-01-08,5.35,5.44,5.24,5.42,7233200,5.3
2009-01-07,5.66,5.68,5.46,5.48,8550000,5.4
2009-01-06,5.31,5.63,5.24,5.61,11222300,5.5
2009-01-05,5.20,5.31,5.15,5.31,7317500,5.2
