Date,Open,High,Low,Close,Volume,Adj Clos
2010-06-03,3.42,3.42,3.42,3.42,000,3.4
2010-06-02,3.42,3.42,3.42,3.42,000,3.4
2010-06-01,3.42,3.42,3.42,3.42,000,3.4
2010-05-31,3.42,3.42,3.42,3.42,000,3.4
2010-05-28,3.42,3.42,3.42,3.42,000,3.4
2010-05-27,3.42,3.42,3.42,3.42,000,3.4
2010-05-26,3.42,3.42,3.42,3.42,000,3.4
2010-05-25,3.42,3.42,3.42,3.42,000,3.4
2010-05-24,3.42,3.42,3.42,3.42,000,3.4
2010-05-21,3.42,3.42,3.42,3.42,000,3.4
2010-05-20,3.42,3.42,3.42,3.42,000,3.4
2010-05-19,3.42,3.42,3.42,3.42,000,3.4
2010-05-18,3.42,3.42,3.42,3.42,000,3.4
2010-05-17,3.42,3.42,3.42,3.42,000,3.4
2010-05-14,3.42,3.42,3.42,3.42,000,3.4
2010-05-13,3.42,3.42,3.42,3.42,000,3.4
2010-05-12,3.42,3.42,3.42,3.42,000,3.4
2010-05-11,3.42,3.42,3.42,3.42,000,3.4
2010-05-10,3.42,3.42,3.42,3.42,000,3.4
2010-05-07,3.42,3.42,3.42,3.42,000,3.4
2010-05-06,3.42,3.42,3.42,3.42,000,3.4
2010-05-05,3.42,3.42,3.42,3.42,000,3.4
2010-05-04,3.42,3.42,3.42,3.42,000,3.4
2010-05-03,3.42,3.42,3.42,3.42,000,3.4
2010-04-30,3.42,3.42,3.42,3.42,000,3.4
2010-04-29,3.42,3.42,3.42,3.42,000,3.4
2010-04-28,3.42,3.42,3.42,3.42,000,3.4
2010-04-27,3.42,3.42,3.42,3.42,000,3.4
2010-04-26,3.42,3.42,3.42,3.42,000,3.4
2010-04-23,3.42,3.42,3.42,3.42,000,3.4
2010-04-22,3.42,3.42,3.42,3.42,000,3.4
2010-04-21,3.42,3.42,3.42,3.42,000,3.4
2010-04-20,3.42,3.42,3.42,3.42,000,3.4
2010-04-19,3.42,3.42,3.42,3.42,000,3.4
2010-04-16,3.42,3.42,3.42,3.42,000,3.4
2010-04-15,3.42,3.42,3.42,3.42,000,3.4
2010-04-14,3.42,3.42,3.42,3.42,000,3.4
2010-04-13,3.42,3.42,3.42,3.42,000,3.4
2010-04-12,3.42,3.42,3.42,3.42,000,3.4
2010-04-09,3.42,3.42,3.42,3.42,000,3.4
2010-04-08,3.42,3.42,3.42,3.42,000,3.4
2010-04-07,3.42,3.42,3.42,3.42,000,3.4
2010-04-06,3.42,3.42,3.42,3.42,000,3.4
2010-04-05,3.42,3.42,3.42,3.42,000,3.4
2010-04-02,3.42,3.42,3.42,3.42,000,3.4
2010-04-01,3.42,3.42,3.42,3.42,000,3.4
2010-03-31,3.42,3.42,3.42,3.42,000,3.4
2010-03-30,3.42,3.42,3.42,3.42,000,3.4
2010-03-29,3.42,3.42,3.42,3.42,000,3.4
2010-03-26,3.42,3.42,3.42,3.42,000,3.4
2010-03-25,3.42,3.42,3.42,3.42,000,3.4
2010-03-24,3.42,3.42,3.42,3.42,000,3.4
2010-03-23,3.42,3.42,3.42,3.42,000,3.4
2010-03-22,3.42,3.42,3.42,3.42,000,3.4
2010-03-19,3.42,3.42,3.42,3.42,000,3.4
2010-03-18,3.42,3.42,3.42,3.42,000,3.4
2010-03-17,3.42,3.42,3.42,3.42,000,3.4
2010-03-16,3.42,3.42,3.42,3.42,000,3.4
2010-03-15,3.42,3.42,3.42,3.42,000,3.4
2010-03-12,3.42,3.42,3.42,3.42,000,3.4
2010-03-11,3.42,3.42,3.42,3.42,000,3.4
2010-03-10,3.42,3.42,3.42,3.42,000,3.4
2010-03-09,3.42,3.42,3.42,3.42,000,3.4
2010-03-08,3.42,3.42,3.42,3.42,000,3.4
2010-03-05,3.42,3.42,3.42,3.42,000,3.4
2010-03-04,3.42,3.42,3.42,3.42,000,3.4
2010-03-03,3.42,3.42,3.42,3.42,000,3.4
2010-03-02,3.42,3.42,3.42,3.42,000,3.4
2010-03-01,3.42,3.42,3.42,3.42,000,3.4
2010-02-26,3.42,3.42,3.42,3.42,000,3.4
2010-02-25,3.42,3.42,3.42,3.42,000,3.4
2010-02-24,3.42,3.42,3.42,3.42,000,3.4
2010-02-23,3.42,3.42,3.42,3.42,000,3.4
2010-02-22,3.42,3.42,3.42,3.42,000,3.4
2010-02-19,3.42,3.42,3.42,3.42,000,3.4
2010-02-18,3.42,3.42,3.42,3.42,000,3.4
2010-02-17,3.42,3.42,3.42,3.42,000,3.4
2010-02-16,3.42,3.42,3.42,3.42,000,3.4
2010-02-15,3.42,3.42,3.42,3.42,000,3.4
2010-02-12,3.42,3.42,3.42,3.42,000,3.4
2010-02-11,3.42,3.42,3.42,3.42,000,3.4
2010-02-10,3.42,3.42,3.42,3.42,000,3.4
2010-02-09,3.42,3.42,3.42,3.42,000,3.4
2010-02-08,3.42,3.42,3.42,3.42,000,3.4
2010-02-05,3.42,3.42,3.42,3.42,000,3.4
2010-02-04,3.42,3.42,3.42,3.42,000,3.4
2010-02-03,3.42,3.42,3.42,3.42,000,3.4
2010-02-02,3.42,3.42,3.42,3.42,000,3.4
2010-02-01,3.42,3.42,3.42,3.42,000,3.4
2010-01-29,3.42,3.42,3.42,3.42,000,3.4
2010-01-28,3.42,3.42,3.42,3.42,000,3.4
2010-01-27,3.42,3.42,3.42,3.42,000,3.4
2010-01-26,3.42,3.42,3.42,3.42,000,3.4
2010-01-25,3.42,3.42,3.42,3.42,000,3.4
2010-01-22,3.42,3.42,3.42,3.42,000,3.4
2010-01-21,3.42,3.42,3.42,3.42,000,3.4
2010-01-20,3.42,3.42,3.42,3.42,000,3.4
2010-01-19,3.42,3.42,3.42,3.42,000,3.4
2010-01-18,3.42,3.42,3.42,3.42,000,3.4
2010-01-15,3.42,3.42,3.42,3.42,000,3.4
2010-01-14,3.42,3.42,3.42,3.42,000,3.4
2010-01-13,3.42,3.42,3.42,3.42,000,3.4
2010-01-12,3.42,3.42,3.42,3.42,000,3.4
2010-01-11,3.42,3.42,3.42,3.42,000,3.4
2010-01-08,3.42,3.42,3.42,3.42,000,3.4
2010-01-07,3.42,3.42,3.42,3.42,000,3.4
2010-01-06,3.42,3.42,3.42,3.42,000,3.4
2010-01-05,3.42,3.42,3.42,3.42,000,3.4
2010-01-04,3.42,3.42,3.42,3.42,000,3.4
