Date,Open,High,Low,Close,Volume,Adj Clos
2008-11-04,3.44,3.44,3.44,3.44,000,3.4
2008-11-03,3.44,3.44,3.44,3.44,000,3.4
2008-10-31,3.44,3.44,3.44,3.44,000,3.4
2008-10-30,3.44,3.44,3.44,3.44,000,3.4
2008-10-29,3.44,3.44,3.44,3.44,000,3.4
2008-10-28,3.44,3.44,3.44,3.44,000,3.4
2008-10-27,3.44,3.44,3.44,3.44,000,3.4
2008-10-24,3.44,3.44,3.44,3.44,000,3.4
2008-10-23,3.44,3.44,3.44,3.44,000,3.4
2008-10-22,3.44,3.44,3.44,3.44,000,3.4
2008-10-21,3.44,3.44,3.44,3.44,000,3.4
2008-10-20,3.44,3.44,3.44,3.44,000,3.4
2008-10-17,3.44,3.44,3.44,3.44,000,3.4
2008-10-16,3.44,3.44,3.44,3.44,000,3.4
2008-10-15,3.44,3.44,3.44,3.44,000,3.4
2008-10-14,3.44,3.44,3.44,3.44,000,3.4
2008-10-13,3.44,3.44,3.44,3.44,000,3.4
2008-10-10,3.44,3.44,3.44,3.44,000,3.4
2008-10-09,3.44,3.44,3.44,3.44,000,3.4
2008-10-08,3.44,3.44,3.44,3.44,000,3.4
2008-10-07,3.44,3.44,3.44,3.44,000,3.4
2008-10-06,3.44,3.44,3.44,3.44,000,3.4
2008-10-03,3.44,3.44,3.44,3.44,000,3.4
2008-10-02,3.44,3.44,3.44,3.44,000,3.4
2008-10-01,3.44,3.44,3.44,3.44,000,3.4
2008-09-30,3.44,3.44,3.44,3.44,000,3.4
2008-09-29,3.44,3.44,3.44,3.44,000,3.4
2008-09-26,3.44,3.44,3.44,3.44,000,3.4
2008-09-25,3.44,3.44,3.44,3.44,000,3.4
2008-09-24,3.44,3.44,3.44,3.44,000,3.4
2008-09-23,3.44,3.44,3.44,3.44,000,3.4
2008-09-22,3.44,3.44,3.44,3.44,000,3.4
2008-09-19,3.44,3.44,3.44,3.44,000,3.4
2008-09-18,3.44,3.44,3.44,3.44,000,3.4
2008-09-17,3.44,3.44,3.44,3.44,000,3.4
2008-09-16,3.44,3.44,3.44,3.44,000,3.4
2008-09-15,3.44,3.44,3.44,3.44,000,3.4
2008-09-12,3.44,3.44,3.44,3.44,000,3.4
2008-09-11,3.44,3.44,3.44,3.44,000,3.4
2008-09-10,3.44,3.44,3.44,3.44,000,3.4
2008-09-09,3.44,3.44,3.44,3.44,000,3.4
2008-09-08,3.44,3.44,3.44,3.44,000,3.4
2008-09-05,3.44,3.44,3.44,3.44,000,3.4
2008-09-04,3.44,3.44,3.44,3.44,000,3.4
2008-09-03,3.44,3.44,3.44,3.44,000,3.4
2008-09-02,3.44,3.44,3.44,3.44,000,3.4
2008-09-01,3.44,3.44,3.44,3.44,000,3.4
2008-08-29,3.44,3.44,3.44,3.44,000,3.4
2008-08-28,3.44,3.44,3.44,3.44,000,3.4
2008-08-27,3.44,3.44,3.44,3.44,000,3.4
2008-08-26,3.44,3.44,3.44,3.44,000,3.4
2008-08-25,3.44,3.44,3.44,3.44,000,3.4
2008-08-22,3.44,3.44,3.44,3.44,000,3.4
2008-08-21,3.44,3.44,3.44,3.44,000,3.4
2008-08-20,3.44,3.44,3.44,3.44,000,3.4
2008-08-19,3.44,3.44,3.44,3.44,000,3.4
2008-08-18,3.44,3.44,3.44,3.44,000,3.4
2008-08-15,3.44,3.44,3.44,3.44,000,3.4
2008-08-14,3.44,3.44,3.44,3.44,000,3.4
2008-08-13,3.44,3.44,3.44,3.44,000,3.4
2008-08-12,3.44,3.44,3.44,3.44,000,3.4
2008-08-11,3.44,3.44,3.44,3.44,000,3.4
2008-08-08,3.44,3.44,3.44,3.44,000,3.4
2008-08-07,3.44,3.44,3.44,3.44,000,3.4
2008-08-06,3.44,3.44,3.44,3.44,000,3.4
2008-08-05,3.44,3.44,3.44,3.44,000,3.4
2008-08-04,3.44,3.44,3.44,3.44,000,3.4
2008-08-01,3.44,3.44,3.44,3.44,000,3.4
2008-07-31,3.44,3.44,3.44,3.44,000,3.4
2008-07-30,3.44,3.44,3.44,3.44,000,3.4
2008-07-29,3.44,3.44,3.44,3.44,000,3.4
2008-07-28,3.44,3.44,3.44,3.44,000,3.4
2008-07-25,3.44,3.44,3.44,3.44,000,3.4
2008-07-24,3.44,3.44,3.44,3.44,000,3.4
2008-07-23,3.44,3.44,3.44,3.44,000,3.4
2008-07-22,3.44,3.44,3.44,3.44,000,3.4
2008-07-21,3.44,3.44,3.44,3.44,000,3.4
2008-07-18,3.44,3.44,3.44,3.44,000,3.4
2008-07-17,3.44,3.44,3.44,3.44,000,3.4
2008-07-16,3.44,3.44,3.44,3.44,000,3.4
2008-07-15,3.44,3.44,3.44,3.44,000,3.4
2008-07-14,3.44,3.44,3.44,3.44,000,3.4
2008-07-11,3.44,3.44,3.44,3.44,000,3.4
2008-07-10,3.44,3.44,3.44,3.44,000,3.4
2008-07-09,3.44,3.44,3.44,3.44,000,3.4
2008-07-08,3.44,3.44,3.44,3.44,000,3.4
2008-07-07,3.44,3.44,3.44,3.44,000,3.4
2008-07-04,3.44,3.44,3.44,3.44,000,3.4
2008-07-03,3.44,3.44,3.44,3.44,000,3.4
2008-07-02,3.44,3.44,3.44,3.44,000,3.4
2008-07-01,3.44,3.44,3.44,3.44,000,3.4
2008-06-30,3.44,3.44,3.44,3.44,000,3.4
2008-06-27,3.44,3.44,3.44,3.44,000,3.4
2008-06-26,3.44,3.44,3.44,3.44,000,3.4
2008-06-25,3.44,3.44,3.44,3.44,000,3.4
2008-06-24,3.44,3.44,3.44,3.44,000,3.4
2008-06-23,3.44,3.44,3.44,3.44,000,3.4
2008-06-20,3.44,3.44,3.44,3.44,000,3.4
2008-06-19,3.44,3.44,3.44,3.44,000,3.4
2008-06-18,3.44,3.44,3.44,3.44,000,3.4
2008-06-17,3.44,3.44,3.44,3.44,000,3.4
2008-06-16,3.44,3.44,3.44,3.44,000,3.4
2008-06-13,3.44,3.44,3.44,3.44,000,3.4
2008-06-12,3.44,3.44,3.44,3.44,000,3.4
2008-06-11,3.44,3.44,3.44,3.44,000,3.4
2008-06-10,3.44,3.44,3.44,3.44,000,3.4
2008-06-06,3.44,3.44,3.44,3.44,000,3.4
2008-06-05,3.44,3.44,3.44,3.44,000,3.4
2008-06-04,3.44,3.44,3.44,3.44,000,3.4
2008-06-03,3.44,3.44,3.44,3.44,000,3.4
2008-06-02,3.44,3.44,3.44,3.44,000,3.4
2008-05-30,3.44,3.44,3.44,3.44,000,3.4
2008-05-29,3.44,3.44,3.44,3.44,000,3.4
2008-05-28,3.44,3.44,3.44,3.44,000,3.4
2008-05-27,3.44,3.44,3.44,3.44,000,3.4
2008-05-26,3.44,3.44,3.44,3.44,000,3.4
2008-05-23,3.44,3.44,3.44,3.44,000,3.4
2008-05-22,3.44,3.44,3.44,3.44,000,3.4
2008-05-21,3.44,3.44,3.44,3.44,000,3.4
2008-05-20,3.44,3.44,3.44,3.44,000,3.4
2008-05-19,3.44,3.44,3.44,3.44,000,3.4
2008-05-16,3.44,3.44,3.44,3.44,000,3.4
2008-05-15,3.44,3.44,3.44,3.44,000,3.4
2008-05-14,3.44,3.44,3.44,3.44,000,3.4
2008-05-13,3.44,3.44,3.44,3.44,000,3.4
2008-05-12,3.44,3.44,3.44,3.44,000,3.4
2008-05-09,3.44,3.44,3.44,3.44,000,3.4
2008-05-08,3.44,3.44,3.44,3.44,000,3.4
2008-05-07,3.44,3.44,3.44,3.44,000,3.4
2008-05-06,3.44,3.44,3.44,3.44,000,3.4
2008-05-05,3.44,3.44,3.44,3.44,000,3.4
2008-05-02,3.44,3.44,3.44,3.44,000,3.4
2008-05-01,3.44,3.44,3.44,3.44,000,3.4
2008-04-30,3.44,3.44,3.44,3.44,000,3.4
2008-04-29,3.44,3.44,3.44,3.44,000,3.4
2008-04-28,3.44,3.44,3.44,3.44,000,3.4
2008-04-25,3.44,3.44,3.44,3.44,000,3.4
2008-04-24,3.44,3.44,3.44,3.44,000,3.4
2008-04-23,3.44,3.44,3.44,3.44,000,3.4
2008-04-22,3.44,3.44,3.44,3.44,000,3.4
2008-04-21,3.44,3.44,3.44,3.44,000,3.4
2008-04-18,3.44,3.44,3.44,3.44,000,3.4
2008-04-17,3.44,3.44,3.44,3.44,000,3.4
2008-04-16,3.44,3.44,3.44,3.44,000,3.4
2008-04-15,3.44,3.44,3.44,3.44,000,3.4
2008-04-14,3.44,3.44,3.44,3.44,000,3.4
2008-04-11,3.44,3.44,3.44,3.44,000,3.4
2008-04-10,3.44,3.44,3.44,3.44,000,3.4
2008-04-09,3.44,3.44,3.44,3.44,000,3.4
2008-04-08,3.44,3.44,3.44,3.44,000,3.4
2008-04-07,3.44,3.44,3.44,3.44,000,3.4
2008-04-04,3.44,3.44,3.44,3.44,000,3.4
2008-04-03,3.44,3.44,3.44,3.44,000,3.4
2008-04-02,3.44,3.44,3.44,3.44,000,3.4
2008-04-01,3.44,3.44,3.44,3.44,000,3.4
2008-03-31,3.44,3.44,3.44,3.44,000,3.4
2008-03-28,3.44,3.44,3.44,3.44,000,3.4
2008-03-27,3.44,3.44,3.44,3.44,000,3.4
2008-03-26,3.44,3.44,3.44,3.44,000,3.4
2008-03-25,3.44,3.44,3.44,3.44,000,3.4
2008-03-24,3.44,3.44,3.44,3.44,000,3.4
2008-03-21,3.44,3.44,3.44,3.44,000,3.4
2008-03-20,3.44,3.44,3.44,3.44,000,3.4
2008-03-19,3.44,3.44,3.44,3.44,000,3.4
2008-03-18,3.44,3.44,3.44,3.44,000,3.4
2008-03-17,3.44,3.44,3.44,3.44,000,3.4
2008-03-14,3.44,3.44,3.44,3.44,000,3.4
2008-03-13,3.44,3.44,3.44,3.44,000,3.4
2008-03-12,3.44,3.44,3.44,3.44,000,3.4
2008-03-11,3.44,3.44,3.44,3.44,000,3.4
2008-03-10,3.44,3.44,3.44,3.44,000,3.4
2008-03-07,3.44,3.44,3.44,3.44,000,3.4
2008-03-06,3.44,3.44,3.44,3.44,000,3.4
2008-03-05,3.44,3.44,3.44,3.44,000,3.4
2008-03-04,3.44,3.44,3.44,3.44,000,3.4
2008-03-03,3.44,3.44,3.44,3.44,000,3.4
2008-02-29,3.44,3.44,3.44,3.44,000,3.4
2008-02-28,3.44,3.44,3.44,3.44,000,3.4
2008-02-27,3.44,3.44,3.44,3.44,000,3.4
2008-02-26,3.44,3.44,3.44,3.44,000,3.4
2008-02-25,3.44,3.44,3.44,3.44,000,3.4
2008-02-22,3.44,3.44,3.44,3.44,000,3.4
2008-02-21,3.44,3.44,3.44,3.44,000,3.4
2008-02-20,3.44,3.44,3.44,3.44,000,3.4
2008-02-19,3.44,3.44,3.44,3.44,000,3.4
2008-02-18,3.44,3.44,3.44,3.44,000,3.4
2008-02-15,3.44,3.44,3.44,3.44,000,3.4
2008-02-14,3.44,3.44,3.44,3.44,000,3.4
2008-02-13,3.44,3.44,3.44,3.44,000,3.4
2008-02-12,3.44,3.44,3.44,3.44,000,3.4
2008-02-11,3.44,3.44,3.44,3.44,000,3.4
2008-02-08,3.44,3.44,3.44,3.44,000,3.4
2008-02-07,3.44,3.44,3.44,3.44,000,3.4
2008-02-06,3.44,3.44,3.44,3.44,000,3.4
2008-02-05,3.44,3.44,3.44,3.44,000,3.4
2008-02-04,3.44,3.44,3.44,3.44,000,3.4
2008-02-01,3.44,3.44,3.44,3.44,000,3.4
2008-01-31,3.44,3.44,3.44,3.44,000,3.4
2008-01-30,3.44,3.44,3.44,3.44,000,3.4
2008-01-29,3.44,3.44,3.44,3.44,000,3.4
2008-01-28,3.44,3.44,3.44,3.44,000,3.4
2008-01-25,3.44,3.44,3.44,3.44,000,3.4
2008-01-24,3.44,3.44,3.44,3.44,000,3.4
2008-01-23,3.44,3.44,3.44,3.44,000,3.4
2008-01-22,3.44,3.44,3.44,3.44,000,3.4
2008-01-21,3.44,3.44,3.44,3.44,000,3.4
2008-01-18,3.44,3.44,3.44,3.44,000,3.4
2008-01-17,3.44,3.44,3.44,3.44,000,3.4
2008-01-16,3.44,3.44,3.44,3.44,000,3.4
2008-01-15,3.44,3.44,3.44,3.44,000,3.4
2008-01-14,3.44,3.44,3.44,3.44,000,3.4
2008-01-11,3.44,3.44,3.44,3.44,000,3.4
2008-01-10,3.44,3.44,3.44,3.44,000,3.4
2008-01-09,3.44,3.44,3.44,3.44,000,3.4
2008-01-08,3.44,3.44,3.44,3.44,000,3.4
2008-01-07,3.44,3.44,3.44,3.44,000,3.4
2008-01-04,3.44,3.44,3.44,3.44,000,3.4
2008-01-03,3.44,3.44,3.44,3.44,000,3.4
2008-01-02,3.44,3.44,3.44,3.44,000,3.4
2008-01-01,3.44,3.44,3.44,3.44,000,3.4
